activity_code,prog_affiliation_adult_dw,prog_affiliation_youth,prog_affiliation_nfjp,prog_affiliation_wp_jvsg,prog_affiliation_msfw,prog_affiliation_taa,reporting_category,restarts_exit_clock,pirl,duration
002,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,"1100, 1101, 1103",1
004,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,"1100, 1101,1103",1
005,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,1103,1
006,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1101,1
06M,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1101,1
007,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
008,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
080,1,1,1,1,1,1,Housekeeping,0,Not Reported,1
089,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,1101,1
090,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
094,0,0,1,0,0,0,Miscellaneous,0,Not Reported,1
097,0,0,1,0,0,0,Miscellaneous,0,Not Reported,1
101,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
102,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1102, 1322",1
103,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,"1100, 1101",1
105,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1104, 1322",1
106,1,0,1,1,1,1,Individualized Career Service,1,1200,1
107,1,0,1,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,1103,1
108,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,1113,1
109,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,1113,1
110,1,0,1,1,1,1,Basic Career Service (Self-Service Information-Only Activity),0,"908, 1501",1
112,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
114,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1109, 1218",1
115,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1104, 1214, 1322",1
117,1,0,1,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
118,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,1112,1
119,1,0,1,1,0,0,Basic Career Service (Staff-Assisted),1,"1003, 1004, 1116",1
120,1,0,0,1,1,0,Basic Career Service (Self-Service Information-Only Activity),0,1100,1
121,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1105, 1215",1
122,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1108, 1217",1
123,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
124,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
125,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1102, 1220, 1322",1
126,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
130,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
131,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
132,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,1104,1
133,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1104, 1214, 1322",1
134,1,0,1,1,1,1,Basic Career Service (Staff-Assisted),1,"1104, 1322",1
140,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,1113,1
147,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
159,1,0,0,1,1,1,Basic Career Service (Staff-Assisted),1,1113,1
160,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1114=1,1
161,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1114=2,1
162,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1114=3,1
164,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1115=2,1
165,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1115=3,1
166,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1115=4,1
167,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,1115=5,1
179,1,0,0,1,1,0,Basic Career Service (Self-Service Workforce Information Service),0,"1000, 1101, 1103",1
180,1,0,1,0,0,0,Supportive Service,0,1409,1
181,1,0,1,0,0,0,Supportive Service,0,1409,1
182,1,0,1,0,0,0,Supportive Service,0,1409,1
183,1,0,1,0,0,0,Supportive Service,0,1409,1
184,1,0,1,0,0,0,Supportive Service,0,1409,1
185,1,0,1,0,0,0,Supportive Service,0,1409,1
186,1,0,1,0,0,0,Supportive Service,0,1409,1
187,1,0,1,0,0,0,Supportive Service,0,1409,1
188,1,0,1,0,0,0,Supportive Service,0,1409,1
189,1,0,1,0,0,0,Supportive Service,0,1409,1
190,1,0,1,0,0,0,Supportive Service,0,1409,1
191,1,0,1,0,0,0,Supportive Service,0,1409,1
192,1,0,1,0,0,0,Supportive Service,0,1409,1
194,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,1116,1
195,0,0,0,1,1,0,Housekeeping,No,Not Reported,1
200,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213, 1322",1
201,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213",1
202,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213, 1322",1
203,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213",1
204,1,0,1,1,0,1,Individualized Career Service,1,"1200, 1213, 1322",1
205,1,0,1,1,0,1,Individualized Career Service,1,"1004, 1200, 1201, 1202",1
206,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1106, 1216",1
207,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1106, 1216",1
208,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1106, 1216",1
209,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
210,1,0,1,1,1,0,Basic Career Service (Staff-Assisted),1,"1116, 1219",1
211,0,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1106, 1216",1
213,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213",90
214,1,0,1,1,1,1,Individualized Career Service,1,"1200, 1213",90
215,1,0,1,1,0,1,Individualized Career Service,1,"1200, 1210, 1213",1
216,1,0,1,1,1,0,Individualized Career Service,1,"1200, 1213",1
217,1,0,1,1,0,1,Individualized Career Service,1,"1200, 1213",1
218,1,0,1,1,1,0,Basic Career Serivce (Staff-Assisted),1,"1003, 1004",1
219,1,0,1,1,0,0,Individualized Career Service,1,"1200, 1201, 1203, 1205",180
221,1,0,1,1,1,0,Individualized Career Service,1,"1206, 1213",90
222,1,0,1,1,0,1,Individualized Career Service,1,"1200, 1201, 1207, 1213",90
224,1,0,1,1,0,0,Individualized Career Service,1,"1205, 1213",180
226,1,0,1,1,0,1,Individualized Career Service,1,"1200, 1213",1
227,0,0,0,0,0,0,Dislocated Worker Grants,1,2004,
230,0,0,0,0,0,1,Individualized Career Service,1,1322,1
231,0,0,0,0,0,1,Miscellaneous,0,1321,180
232,0,0,0,0,0,1,Miscellaneous,0,1321,180
233,0,0,0,0,0,1,Miscellaneous,0,1321,180
234,0,0,0,0,0,1,Miscellaneous,0,1321,180
235,0,0,0,0,0,1,Miscellaneous,0,1321,180
236,0,0,0,0,0,1,Miscellaneous,0,1321,180
237,0,0,0,0,0,1,Miscellaneous,0,1505,1
280,0,0,0,0,0,1,Miscellaneous,0,1514,1
300,1,0,1,0,0,0,Training Service,1,1303=6,NA
301,1,0,1,0,0,0,Training Service,1,1303=1,NA
302,1,0,1,0,0,0,Training Service,1,1303=3,NA
303,0,0,0,0,0,1,Training Service,1,1328,NA
304,1,0,1,0,0,0,Training Service,1,1303=5,NA
305,1,0,1,0,0,0,Training Service,1,1303=2,NA
306,1,0,1,0,0,0,Training Service,1,1303=8,NA
307,1,0,1,0,0,0,Training Service,1,1303=6,NA
308,1,0,1,0,0,0,Training Service,1,907,NA
311,1,0,0,1,0,0,Basic Career Service (Staff-Assisted),1,1107,1
312,1,0,1,1,0,0,Basic Career Service (Staff-Assisted),1,1107,1
313,1,0,1,1,0,0,Basic Career Service (Staff-Assisted),1,1116,1
320,1,0,1,0,0,0,Training Service,1,1303=6,NA
321,1,0,1,1,0,0,Individualized Career Service,1,1211,NA
322,1,0,1,0,0,0,Training Service,1,1303=11,NA
323,1,0,1,0,0,0,Training Service,1,1303=6,NA
324,1,0,1,0,0,0,Training Service,1,1303=4,NA
325,1,0,1,0,0,0,Training Service,1,1303=9,NA
326,1,0,1,0,0,0,Supportive Service,0,1500,1
327,1,0,1,0,0,0,Supportive Service,0,1409,1
328,1,0,1,0,0,0,Training Service,1,1303=6,NA
330,1,0,1,0,0,0,Training Service,1,1303=6,NA
331,0,0,0,0,0,1,Miscellaneous,0,1325,1
332,0,0,0,0,0,1,Miscellaneous,0,1325,1
333,0,0,0,0,0,1,Training Service,1,1303=7,NA
335,0,0,0,0,0,1,Training Service,1,1303=6,NA
339,0,0,0,0,0,1,Training Service,1,1303=7,NA
341,0,0,0,0,0,1,Training Service,1,1303=7,NA
342,0,0,0,0,0,1,Training Service,1,1303=8,NA
346,1,0,1,0,0,0,Training Service,1,1303=6,NA
347,0,0,0,0,0,1,Training Service,1,1303=06,NA
348,0,0,0,0,0,1,Training Service,1,1303=1,NA
349,0,0,0,0,0,1,Training Service,1,1303=5,NA
350,0,0,0,0,0,1,Training Service,1,1303=6,NA
351,0,0,0,0,0,1,Training Service,1,1303=4,NA
352,0,0,0,0,0,1,Training Service,1,1303=09,NA
354,0,0,0,0,0,1,Training Service,1,1303=6,NA
400,0,1,0,0,0,0,Youth Career Service,1,1405,90
406,0,1,0,0,0,0,Youth Career Service,1,1402,90
407,0,1,0,0,0,0,Youth Career Service,1,1206,180
408,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",180
409,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",90
410,0,1,0,0,0,0,Youth Career Service,1,1408,1
411,0,1,0,0,0,0,Youth Career Service,1,1410,1
412,0,1,0,0,0,0,Housekeeping,0,Not Reported,1
413,0,1,0,0,0,0,Housekeeping,0,Not Reported,1
414,0,1,0,0,0,0,Youth Career Service,1,1402,NA
415,0,1,0,0,0,0,Youth Career Service,1,1403,NA
416,0,1,0,0,0,0,Training Service,1,1303=10,NA
417,0,1,0,0,0,0,Youth Career Service,1,1411,1
418,0,1,0,0,0,0,Youth Career Service,1,1403,90
419,0,1,0,0,0,0,Youth Career Service,1,1409,1
421,0,1,0,0,0,0,Training Service,1,1303=10,NA
424,0,1,0,0,0,0,Youth Career Service,1,1413,180
425,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",180
426,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",180
427,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",180
428,0,1,0,0,0,0,Youth Career Service,1,"1205, 1405",NA
429,0,1,0,0,0,0,Youth Career Service,1,"1401, 1402, 1300",NA
430,0,1,0,0,0,0,Training Service,1,1303=10,NA
431,0,1,0,0,0,0,Youth Career Service,1,1405,NA
432,0,1,0,0,0,0,Training Service,1,1303=9,NA
433,0,1,0,0,0,0,Youth Career Service,1,1414,1
434,0,1,0,0,0,0,Youth Career Service,1,1414,1
435,0,1,0,0,0,0,Youth Career Service,1,1414,1
436,0,1,0,0,0,0,Youth Career Service,1,1415,1
437,0,1,0,0,0,0,Youth Career Service,1,1303=10,NA
438,0,1,0,0,0,0,Youth Career Service,1,1303=10,NA
439,0,1,0,0,0,0,Youth Career Service,1,1407,NA
480,0,1,0,0,0,0,Youth Career Service,1,1409,1
481,0,1,0,0,0,0,Youth Career Service,1,1409,1
482,0,1,0,0,0,0,Youth Career Service,1,1409,1
483,0,1,0,0,0,0,Youth Career Service,1,1409,1
485,0,1,0,0,0,0,Youth Career Service,1,1409,1
487,0,1,0,0,0,0,Youth Career Service,1,1409,1
488,0,1,0,0,0,0,Youth Career Service,1,1409,1
489,0,1,0,0,0,0,Youth Career Service,1,1409,1
490,0,1,0,0,0,0,Youth Career Service,1,1409,1
491,0,1,0,0,0,0,Youth Career Service,1,1409,1
492,0,1,0,0,0,0,Youth Career Service,1,1409,1
493,0,1,0,0,0,0,Youth Career Service,1,1409,1
500,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1105, 1215",1
501,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1105, 1215",1
502,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1105, 1215",1
503,1,0,0,1,1,0,Housekeeping,0,Not Reported,1
505,1,0,0,1,1,0,Basic Career Service (Staff-Assisted),1,"1105, 1215",1
F01,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F02,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F03,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F04,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F05,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F06,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F07,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F08,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F09,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F10,1,1,1,1,0,0,Follow-up,0,"1412, 1503",1
F12,1,1,1,0,0,0,Follow-up,0,1412,1
F13,1,1,1,0,0,0,Follow-up,0,1412,1
F14,1,1,1,0,0,0,Follow-up,0,1412,1
F15,1,1,1,0,0,0,Follow-up,0,1412,1
F16,1,1,1,0,0,0,Follow-up,0,1412,1
F17,1,1,1,0,0,0,Follow-up,0,1412,1
F18,1,1,1,0,0,0,Follow-up,0,1412,1
F19,1,1,1,0,0,0,Follow-up,0,1412,1
F21,1,1,1,0,0,0,Follow-up,0,1412,1
F22,1,1,1,0,0,0,Follow-up,0,1412,1
